State,Year,Gini-Indx,PopDens,Pov.%,GnLwRnk (Low is strict),Pop.,StateSqMi,AllVlntCrm,AllMrdr,GunHom.Rate100k,RapeRvsd,RapeLgcy,Robbery,AggvtdAsslt,MassShoot,MassShoot100k,MasShootY,FirearmSuic,AllSuic,House%OwnGuns,PolicKilledGun,PoliceKilledGun100k,NumOfPoliceOfficers,PoliceOfficers100k,GunRnkCATO,GunRnkEvryTwn,GunRnkAVG,PrcntBlck,PrcntHispORLat,PrtyRepub.,PrtyDemoc.,AlchlPerCap,MntlHlthRnk,PrcntHSchl,PrcntBchlr,RdntHntLic,RdntHntLic100k,GunShow100k,PrcntPopVet,PrcntPopUrbn,PrcntEvang.,CntryV.Rck,B5E,B5A,B5C,B5N,B5O,IATScore,UnHyphAm.,PrcntUnHyphAm.,PrcntConsrv,FxNwsCnsmp.,HnrCultr,CensS,CensNE,CensMW,CensW,MnMrdrWmn
Wisconsin,2014,0.44,106.0129626,10.9,17,5757564,54310,290.3,2.9,2.1,29.1,20.3,88,170.4,2,0.03473691304,1,6.11,13.35,45.77,1,0.01736845652,12776,221.8994005,35,35,35,6.2,6.2,42,42,2.97,35,90.8,27.4,2736588,47530.30969,1.88,7,70.15,22,6,69.8,57.8,47.6,48.6,35.7,0.395,191028,3.317861512,39.4,4,0,0,0,1,0,0.93
Wyoming,2014,0.427,6.015993821,9.7,44,584153,97100,195.5,2.7,0,29.8,21.6,9.1,153.9,0,0,0,13.35,20.54,65.00,0,0,1322,226.3105727,2,1,1.5,1,9.4,57,25,2.72,29,92.3,25.1,169558,29026.29962,5.62,9,64.76,27,6,46,40.7,42.4,46.1,42.4,0.348,47854,8.192031882,51.4,1,1,0,0,0,1,1.05
Alabama,2013,0.475,95.26241526,18.7,24,4833996,50744,431,7.2,6.56,42.5,30,96.1,285.2,2,0.04137363788,1,10.43,14.93,69.86,0,0,9492,196.3592854,9,16,12.5,26.3,3.9,52,35,1.99,38.67,83.1,22.6,573139,11856.42272,0.78,9,59.04,49,7,55.5,52.7,55.5,48.7,42.7,0.439,674196,13.94697058,44.7,8,1,1,0,0,0,1.098
Alaska,2013,0.408,1.289024759,9.3,49,737259,571951,638.7,4.6,2.58,125.5,89.1,84.5,424.1,0,0,0,16.27,23.19,70.16,1,0.1356375439,1312,177.9564576,4,5,4.5,3.5,5.9,39,32,2.75,17.67,91.6,27.5,243524,33030.99725,0.33,10,66.02,22,5,50,50,50,50,50,0.382,27706,3.757973792,43.1,1,0,0,0,0,1,2.29
Arizona,2013,0.468,58.38867426,18.6,50,6634997,113635,415.6,5.4,3.82,47.8,35.3,100.3,262.1,4,0.06028638747,1,9.88,17.54,56.33,0,0,11955,180.1809405,3,13,8,4.2,29.9,40,39,2.35,50.33,85.7,26.9,381890,5755.692128,1.2,8,89.81,26,5,50.6,46.6,58.4,38.1,54.7,0.398,319017,4.808095618,36,5,1,0,0,0,1,1.38
Arkansas,2013,0.469,56.82501729,19.7,34,2958765,52068,463.2,5.3,5.14,50.4,38.4,76.4,331.1,0,0,0,10.89,17.44,62.44,0,0,5893,199.1709379,32,22,27,15.5,6.6,46,38,1.81,43.67,83.7,20.1,377526,12759.58043,1.42,8,56.16,46,7,49.9,52.7,41,56.2,40.3,0.411,320628,10.83654836,45.2,7,1,1,0,0,0,0.93
California,2013,0.49,246.4198475,16.8,1,38431393,155959,402.6,4.5,3.42,26.9,19.4,139.6,231.7,37,0.09627545897,1,4.09,10.48,39.03,6,0.01561223659,76912,200.1280568,49,46,47.5,6,37.9,30,49,2.32,25.00,81.2,30.7,817675,2127.622592,0.37,5,94.95,20,1,51.4,49,43.2,39.1,65,0.392,941696,2.450330125,30.8,3,1,0,0,0,1,0.97
Colorado,2013,0.461,50.83096473,13,15,5272086,103718,305.4,3.3,2.01,56.2,41.7,59.5,186.4,2,0.03793564824,1,9.28,19.1,48.59,1,0.01896782412,11981,227.2535008,13,29,21,4,20.8,41,42,2.81,24.00,90.2,37,423270,8028.510916,1.64,8,86.15,26,4,45.3,47.5,58.8,34.3,57.9,0.358,241752,4.585509417,36.9,4,1,0,0,0,1,1.22
Connecticut,2013,0.499,742.8980392,10.7,2,3599341,4845,262.2,2.5,1.83,24.8,18,98.7,136.3,3,0.08334859076,1,2.56,9.17,27.92,0,0,8517,236.6266492,43,45,44,10.1,13.9,32,50,2.37,26.01,89.2,36.5,122995,3417.153307,0.37,6,87.99,13,1,57.6,38.6,34.2,53.4,53.9,0.416,104980,2.916645019,27.4,4,0,0,1,0,0,0.76
Delaware,2013,0.451,473.5107472,12.4,10,925240,1954,500.7,4.4,4.11,43.1,30,133.3,319.9,3,0.3242401971,1,6.48,13.18,49.17,0,0,2339,252.7992737,41,39,40,21.5,8.4,29,55,3.59,5.00,87.7,28.9,37074,4006.960356,0.81,9,83.3,15,1,47,38.8,36.5,62.4,42.7,0.445,39346,4.252518266,32.3,1,1,0,1,0,0,0.63
Florida,2013,0.484,363.4600664,17,25,19600311,53927,469.3,5,4.16,34.5,24.3,118.4,311.5,13,0.0663254782,1,7.99,14.94,53.48,2,0.01020391972,42346,216.0475923,38,16,27,16,22.9,37,44,2.72,26.33,86.1,26.4,355280,1812.6243,1.19,8,91.16,24,2,60.9,50.7,62.7,40.8,61,0.438,1462965,7.463988709,36.8,6,1,1,0,0,0,1.098
Georgia,2013,0.484,172.6031672,19,28,9994759,57906,375.4,5.6,4.72,28.9,20.2,127.1,213.7,6,0.06003146249,1,7.48,12.13,61.67,0,0,21498,215.0927301,7,10,8.5,30.7,8.9,41,41,1.97,28.00,84.7,28,866635,8670.894416,1.17,8,75.07,38,6,63.2,60,68.8,38,56.9,0.437,1074799,10.75362598,41.8,7,1,1,0,0,0,1.15
Hawaii,2013,0.44,219.3658726,10.8,7,1408987,6423,254.4,2.3,0,36.1,26,66.3,149.8,0,0,0,1.99,12.14,16.39,0,0,2886,204.8280076,50,50,50,1.8,9.3,28,51,2.55,17.00,90.4,30.1,10106,717.2528916,0,9,91.93,25,1,50,50,50,50,50,0.369,13753,0.9760913337,27.2,1,0,0,0,0,1,0.58
Idaho,2013,0.438,19.49125648,15.6,37,1612843,82747,215.2,1.8,0.87,41.8,32,13.6,158,0,0,0,12.4,19.1,64.92,0,0,2707,167.8402672,18,3,10.5,0.6,11.4,49,32,2.81,45.00,88.8,25.1,859531,53292.91196,1.62,8,70.58,21,6,40.7,52.9,44.5,44.2,44.7,0.356,150580,9.336308618,47.5,1,1,0,0,0,1,0.99
Illinois,2013,0.482,231.9111975,14.7,8,12890552,55584,403.1,5.6,4.47,41.4,30.2,137.6,218.5,18,0.1396371544,1,3.85,10.25,37.56,1,0.007757619689,9420,73.07677747,45,49,47,14.4,16,33,48,2.33,14.33,87.3,31.4,1313039,10186.0572,0.85,6,88.49,20,2,62.5,48.3,50.9,51.2,55.2,0.415,596639,4.628498454,32.4,4,0,0,0,1,0,0.24
Indiana,2013,0.455,183.1966153,15.9,23,6570713,35867,359.6,5.4,4.54,34.1,24.7,108.3,211.8,6,0.09131429116,1,7.96,14.37,55.39,1,0.01521904853,7054,107.3551683,17,21,19,9.1,6.2,42,37,2.09,41.00,87.2,23.2,471335,7173.270237,1.37,7,72.44,31,6,48.9,50.2,56.2,59.3,44.9,0.409,704473,10.72140877,41.1,6,0,0,0,1,0,1.08
Iowa,2013,0.443,55.34985412,12.7,16,3092341,55869,273,1.3,0.78,36.6,28.2,30.3,204.8,0,0,0,7.15,14.46,49.45,1,0.03233796014,5035,162.8216293,40,20,30,3,5.1,41,40,2.34,9.00,91,25.7,796934,25771.21993,2.34,8,64.02,28,7,62.8,56.6,52.2,49.1,33.7,0.392,185253,5.99070413,40.1,5,0,0,0,1,0,0.58
Kansas,2013,0.459,35.39449979,14,44,2895801,81815,342.8,4,2.73,44.7,34.6,46.2,247.8,4,0.1381310387,1,8.33,14.68,56.74,0,0,6174,213.2052582,15,12,13.5,5.7,10.7,46,31,1.88,18.33,89.8,30.3,334664,11556.87148,1.4,8,74.2,31,7,45.5,48.9,50.8,49,40.1,0.397,217907,7.524930063,41.7,6,0,0,0,1,0,1.03
Kentucky,2013,0.472,110.7426248,18.8,43,4399583,39728,210.9,3.9,3.14,37.4,21.6,73.8,95.8,3,0.06818828057,1,10.3,15.94,64.62,2,0.04545885371,7092,161.1970953,8,15,11.5,7.8,3.1,44,43,1.85,22.33,83,21.5,486527,11058.47986,0.92,8,58.38,49,7,53.4,48.1,51.3,62.5,43,0.408,890180,20.2332812,40.9,7,1,1,0,0,0,1.43
Louisiana,2013,0.491,106.2688582,19.8,40,4629284,43562,521.2,10.7,9.64,38.1,27,119.7,352.8,9,0.1944145142,1,8.82,12.6,70.00,1,0.02160161269,8228,177.7380692,37,22,29.5,32,4.4,41,43,2.58,44.00,82.6,21.8,578733,12501.56612,1.03,7,73.19,27,4,52.2,49.7,45,60.4,53.7,0.449,437042,9.440812013,44.1,6,1,1,0,0,0,1.99
Maine,2013,0.453,43.05301017,14,25,1328702,30862,132.5,1.8,0.98,37.3,27.5,25.2,68.3,0,0,0,10.31,18.44,55.91,0,0,2243,168.8113663,16,18,17,1.1,1.4,36,47,2.69,10.00,91.1,27.9,216364,16283.86199,0.8,10,38.66,14,3,44.2,32.8,24,71,50.8,0.374,102182,7.690362474,32.6,1,0,0,1,0,0,1.47
Maryland,2013,0.456,607.6055862,10.1,4,5938737,9774,475.4,6.5,5.04,28.3,19.9,169.2,271.5,4,0.06735438865,1,4.33,9.59,45.15,1,0.01683859716,17312,291.5097941,44,41,42.5,29.4,8.5,31,55,2.17,11.33,88.7,36.8,0,0,0.7,7,87.2,18,2,35.2,37.3,37.5,49.4,56.6,0.413,259963,4.377412234,31.8,5,1,1,0,0,0,1.18
Massachusetts,2013,0.484,855.7237245,11.9,6,6708874,7840,406.4,2.1,1.25,34.3,25.7,99.9,270.1,0,0,0,1.67,8.53,19.58,1,0.01490563096,16293,242.8574452,47,48,47.5,6.9,9.9,27,56,2.56,1.67,89.4,39.4,212730,3170.874874,0.28,6,91.97,9,1,44.4,40.7,32.2,63.8,59.6,0.396,236898,3.531114163,27.4,4,0,0,1,0,0,0.67
Michigan,2013,0.464,174.25169,17,14,9898193,56804,452.2,6.3,4.98,68.5,45.5,102,275.3,14,0.1414399578,1,6.81,13.08,52.06,1,0.01010285413,16909,170.8291604,36,29,32.5,14,4.5,34,47,2.24,30.00,88.9,25.9,1909994,19296.39077,0.98,7,74.57,25,4,55.2,54.7,53,48.6,43.4,0.402,518052,5.233803786,34.6,5,0,0,0,1,0,1.45
Minnesota,2013,0.446,68.10777541,11.2,12,5422060,79610,234.4,2.1,1.4,37.1,26.8,67.8,127.4,2,0.03688634947,1,6.25,12.51,49.96,0,0,8743,161.2486767,39,44,41.5,5.2,4.8,39,46,2.72,4.00,92.1,32.6,1517721,27991.5936,1.5,7,73.27,19,6,52.9,61.6,52.5,43.4,38.5,0.392,171010,3.153967311,36.2,5,0,0,0,1,0,0.81
Mississippi,2013,0.479,63.79018057,24,44,2992206,46907,277.5,7.3,7.19,34.2,24.3,80.6,155.4,2,0.06684031781,1,9.33,12.97,71.94,2,0.06684031781,2903,97.0187213,24,1,12.5,37.2,2.7,44,42,2.24,43.00,81.5,20.1,196262,6559.107227,1.27,7,49.35,41,7,56.8,63.3,59.7,52,46.2,0.456,327110,10.93206818,47.9,9,1,1,0,0,0,0.78
Missouri,2013,0.461,87.7524751,15.9,39,6044917,68886,433.7,6.1,4.85,38.1,27.8,90.8,298.7,10,0.1654282433,1,9.2,15.88,57.93,0,0,14400,238.2166703,29,6,17.5,11.5,3.7,41,42,2.44,27.67,87.6,26.2,1696483,28064.62024,1.29,8,70.44,36,6,62.9,59.3,60.8,48.3,45.7,0.415,592992,9.809762483,42.9,6,0,0,0,1,0,1.04
Montana,2013,0.462,6.972518413,16.5,42,1014864,145552,288.1,2.3,1.38,46,37.6,21.4,218.5,0,0,0,14.49,23.96,60.48,0,0,1684,165.9335635,23,7,15,0.4,3.1,49,30,3.07,39.00,92.1,28.7,867849,85513.82254,4.89,10,55.89,28,7,33.1,52.3,56.1,43,55,0.357,69488,6.847025808,45.2,1,1,0,0,0,1,0.59
Nebraska,2013,0.445,24.31274066,13.2,21,1868969,76872,264.8,3,2.73,45.3,33.2,55.4,161.1,1,0.05350543535,1,5.94,11.77,50.47,0,0,3497,187.1085074,34,18,26,4.6,9.4,47,36,2.31,19.00,90.5,28.5,374773,20052.39252,1.87,8,73.13,25,7,60,62.9,64.3,41.6,34.3,0.399,74139,3.966839471,41.7,6,0,0,0,1,0,0.64
Nevada,2013,0.454,25.41742393,15.8,31,2791494,109826,605,5.8,3.15,53.1,39,185.7,360.4,1,0.03582311121,1,10.46,19.39,53.95,0,0,5359,191.976053,22,43,32.5,8.2,26.9,37,46,3.3,49.67,84.6,22.4,105892,3793.380892,2.41,8,94.2,20,1,46.4,31.8,55.8,44,61.3,0.404,107699,3.858113254,35.7,2,1,0,0,0,1,1.95
New Hampshire,2013,0.439,147.4817128,8.7,22,1322616,8968,223.2,1.6,0,58.8,39.5,48.9,113.9,0,0,0,6.12,13.99,43.75,0,0,2612,197.4874038,5,3,4,1.2,2.9,35,46,4.68,18.00,91.8,33.7,178689,13510.27055,0.76,9,60.3,13,1,40.2,53.5,38,61.8,48.7,0.396,65400,4.944745867,36.9,1,0,0,1,0,0,0.75
New Jersey,2013,0.48,1201.496832,11.4,3,8911502,7417,288.9,4.5,3.35,13.3,9.7,135.6,135.5,8,0.08977162323,1,2.18,8.5,25.65,0,0,24460,274.476738,46,41,43.5,13.6,18.2,30,51,2.36,6.67,88.1,35.8,290020,3254.445771,0.14,5,94.68,13,1,59.9,44.6,40.8,56.4,57.6,0.437,302160,3.39067421,29.6,4,0,0,1,0,0,1.08
New Mexico,2013,0.476,17.19647154,21.9,37,2086895,121356,622.5,5.9,3.93,75,54.4,87.8,453.8,2,0.0958361585,1,10.64,20.65,51.53,0,0,353,16.91508198,28,13,20.5,2,46.7,37,48,2.35,34.67,83.6,25.8,2603210,124740.8231,1.5,8,77.43,23,4,32.4,45.4,58.5,51.6,62,0.341,80953,3.87911227,37.1,1,1,0,0,0,1,2
New York,2013,0.51,417.1576227,16,5,19695680,47214,393.8,3.3,1.93,18,13.1,138.3,234.2,14,0.07108157728,1,2.36,8.57,27.54,1,0.00507725552,58528,297.1616111,42,47,44.5,15.6,17.9,28,53,2.21,13.00,85.2,33.2,1010459,5130.358535,0.39,5,87.87,10,1,47,29.8,37.7,62.7,64.5,0.411,783452,3.977785992,29.3,4,0,0,1,0,0,0.84
North Carolina,2013,0.477,202.1908193,17.9,31,9848917,48711,341,4.7,4.18,25.6,18.2,94.2,216.5,11,0.1116874068,1,7.83,13.04,60.05,0,0,23258,236.1477917,33,24,28.5,21.4,8.5,41,43,2.03,26.00,84.9,27.3,323558,3285.213999,1.03,8,66.09,35,6,51,63.6,68.4,44.8,49.6,0.425,1123757,11.40995502,40,6,1,1,0,0,0,1.09
North Dakota,2013,0.455,10.49433136,11.8,28,723857,68976,273.4,2.2,0,49,39.8,22.2,199.9,0,0,0,10.5,17.69,59.36,0,0,1471,203.2169337,12,10,11,1.3,2.3,50,33,3.38,6.33,90.9,27.2,455562,62935.35878,1.57,8,59.9,22,8,52.4,52.4,51.4,49.6,21.8,0.391,21438,2.961634688,42.9,1,0,0,0,1,0,0.57
Ohio,2013,0.465,282.602447,16,19,11572005,40948,291.4,4.1,3.86,37.9,31.1,125.2,124.2,8,0.06913235865,1,6.91,13.19,52.39,0,0,13147,113.6103899,30,27,28.5,12.1,3.2,42,40,2.04,23.67,88.5,25.2,378018,3266.659494,0.75,7,77.92,29,5,54.6,45.9,46.5,58.5,46,0.421,924887,7.992452475,37.9,6,0,0,0,1,0,0.91
Oklahoma,2013,0.462,56.11309654,16.8,34,3853118,68667,446.1,5.1,4.62,60.1,44.5,78.5,302.4,6,0.1557180445,1,11.24,17.26,65.12,0,0,7841,203.4975311,27,24,25.5,7.2,9.1,45,40,1.93,31.67,86.4,23.5,270030,7008.090591,1.44,9,66.24,47,6,39.7,54.3,54.7,52.1,42.2,0.399,356894,9.262472626,45,7,1,1,0,0,0,1.65
Oregon,2013,0.46,40.91865371,16.7,18,3928068,95997,242.8,2.1,1.37,37.3,25.5,60.9,142.5,0,0,0,9.9,17.77,55.71,1,0.02545780776,5959,151.7030764,26,36,31,1.8,11.9,42,47,2.66,46.67,89.4,29.7,1207388,30737.45159,2.59,9,81.03,29,2,30.9,59.1,45.8,39.5,58.8,0.343,190195,4.841947746,33.6,2,1,0,0,0,1,0.81
Pennsylvania,2013,0.47,285.1885668,13.7,11,12781296,44817,335.1,4.8,3.8,29.7,21.3,115.3,185.3,13,0.1017111254,1,7.18,13.99,51.32,0,0,25278,197.7733713,20,36,28,10.9,5.9,39,46,2.33,12.33,88.7,27.5,2329571,18226.40677,1.15,7,78.66,19,3,54.6,42.8,52.4,61.4,49.6,0.417,597679,4.676200285,37.1,5,0,0,1,0,0,1.32
Rhode Island,2013,0.477,1007.994258,14.3,9,1053354,1045,257.3,2.9,1.71,42.6,31.6,64.8,146.9,2,0.1898696924,1,3.23,12.54,25.76,0,0,2434,231.0714157,48,35,41.5,6.3,12.9,30,48,2.56,36.00,85.2,31.3,7150,678.7841504,0.61,7,90.73,14,1,43.3,35.2,48.5,61.9,59.4,0.404,24703,2.345175506,33.8,1,0,0,1,0,0,0.92
South Carolina,2013,0.467,158.483195,18.6,34,4771929,30110,508.5,6.4,5.12,46.8,36.4,83.1,372.2,5,0.1047794299,1,9.86,14.6,67.53,0,0,11521,241.4327623,25,24,24.5,27.7,5.2,43,39,2.31,36.00,84.5,25.1,340005,7125.106011,0.73,9,66.33,35,6,60,55.4,69.6,45.7,55.3,0.454,580148,12.15751534,45.1,7,1,1,0,0,0,2.32
South Dakota,2013,0.443,11.14199117,14.2,47,845510,75885,323.2,2.1,0,60,53.7,18.5,242.7,0,0,0,8.4,17.39,48.30,0,0,1529,180.837601,6,9,7.5,1.4,3,53,37,2.81,6.00,90.4,26.2,283405,33518.82296,2.74,9,56.65,25,8,58.7,56.7,55.8,36.1,41.9,0.382,29936,3.540584972,42.7,1,0,0,0,1,0,0.48
Tennessee,2013,0.478,157.63566,17.8,28,6497269,41217,585.8,5.2,4.76,38.5,29.3,112.9,429.3,10,0.1539108201,1,10.41,15.86,65.64,0,0,16595,255.4150059,10,39,24.5,16.8,4.7,48,36,2,35.33,84.4,23.8,659098,10144.23137,1.36,8,66.39,52,7,51.3,66.6,62,49,50.1,0.421,1049247,16.14904662,44.9,7,1,1,0,0,0,1.65
Texas,2013,0.481,101.244999,17.5,31,26505637,261797,410.3,4.3,3.44,39.4,28.7,120,246.6,10,0.03772782371,1,6.72,11.54,58.23,5,0.01886391185,46059,173.7705832,31,27,29,11.8,37.9,39,40,2.25,33.67,81.2,26.7,1401543,5287.716722,1.08,6,84.7,31,6,55.2,52.3,54.4,44.3,52.7,0.416,1344394,5.072105983,40.5,6,1,1,0,0,0,1.38
Utah,2013,0.426,35.33778487,12.7,40,2902787,82144,228.9,1.8,1.14,52.4,31.9,43,131.7,1,0.03444965132,1,10.16,19.94,50.95,1,0.03444965132,3236,111.4790717,21,33,27,1.1,13.1,54,30,1.36,41.00,90.9,30.3,347695,11977.97151,0.43,5,90.58,7,6,55.8,69.4,54.5,30.4,47.7,0.365,166961,5.751748234,46.9,4,1,0,0,0,1,0.76
Vermont,2013,0.454,67.76810811,12.3,44,626855,9250,123.6,1.6,0,21.7,18,12,88.4,0,0,0,9.41,17.86,52.69,0,0,1158,184.7317163,1,8,4.5,1,1.6,29,57,3,3.00,91.4,34.8,169429,27028.41965,0.51,8,38.9,11,4,26.5,60,38.2,55.8,54.2,0.384,45848,7.313972131,26.8,1,0,0,1,0,0,1.58
Virginia,2013,0.467,208.8787443,11.7,20,8270345,39594,197.8,3.9,2.82,28.4,17.8,55.3,110.2,6,0.07254836406,1,7.27,12.97,56.05,1,0.01209139401,18756,226.7861861,11,32,21.5,19.4,8.1,43,39,2.1,33.33,87.5,35.2,769656,9306.213949,0.93,10,75.45,30,6,48.5,47.4,45.3,44.7,57.1,0.417,863822,10.44481216,37,5,1,1,0,0,0,1.12
Washington,2013,0.457,104.6417082,14.1,12,6973742,66644,290,2.4,1.66,37.3,29.7,83.6,166.7,4,0.05735801525,1,6.93,14.73,47.05,0,0,10341,148.2848089,19,36,27.5,3.6,11.5,33,44,2.24,41.67,90,31.9,729150,10455.64921,0.74,9,84.05,25,4,30.6,55.8,45,36.9,56.6,0.365,305537,4.381248977,34.3,4,1,0,0,0,1,0.77
West Virginia,2013,0.465,76.98293048,18.5,25,1853595,24078,305.2,3.3,2.32,37.8,19.8,35.2,228.9,2,0.1078984352,1,12.14,17.43,69.65,1,0.0539492176,3534,190.656535,14,29,21.5,3.2,1.3,43,41,1.8,39.00,83.9,18.3,562501,30346.48885,2.48,9,48.72,39,2,38.5,51.8,42.6,79.2,36.8,0.414,233814,12.61408236,41.6,5,1,1,0,0,0,1.07
Wisconsin,2013,0.445,105.743933,13.5,17,5742953,54310,280.7,2.8,2,32,22.8,84.2,161.7,1,0.01741264468,1,7.61,14.8,51.42,0,0,12504,217.7277091,35,35,35,6.2,6.1,42,42,2.99,29.00,90.4,26.8,2795847,48683.09039,1.88,7,70.15,22,6,69.8,57.8,47.6,48.6,35.7,0.395,191028,3.326302688,39.4,4,0,0,0,1,0,1.14
Wyoming,2013,0.418,6.006416066,10.9,48,583223,97100,207.8,2.9,0,35,24.7,12.7,157.2,0,0,0,15.26,22.12,68.99,0,0,1605,275.1949083,2,1,1.5,0.9,9.2,57,25,2.66,32.00,92.4,24.7,171771,29452.02778,5.62,9,64.76,27,6,46,40.7,42.4,46.1,42.4,0.348,47854,8.205094792,51.4,1,1,0,0,0,1,0.7